Disease,Symptoms
Common Cold,"cough, sneezing, sore throat, runny nose"
Flu,"fever, chills, muscle aches, fatigue, headache"
Diabetes,"increased thirst, frequent urination, fatigue, blurred vision"
Hypertension,"high blood pressure, headache, dizziness, nosebleeds"
Asthma,"shortness of breath, wheezing, coughing, chest tightness"
Migraine,"headache, nausea, sensitivity to light, vomiting"
Chickenpox,"fever, rash, tiredness, loss of appetite"
Tuberculosis,"persistent cough, chest pain, weight loss, night sweats"
Malaria,"fever, chills, sweating, headache, nausea"
Dengue,"high fever, severe headache, joint pain, rash, bleeding"
Anemia,"fatigue, weakness, pale skin, shortness of breath"
Pneumonia,"cough, fever, chills, chest pain, shortness of breath"
Covid-19,"fever, cough, loss of taste, shortness of breath, fatigue"
Arthritis,"joint pain, stiffness, swelling, reduced motion"
Depression,"persistent sadness, loss of interest, fatigue, appetite changes"
